 DRAW  ( 40.000000,  12.000000) - ( 40.000000, 12.000000)
 DRAW  ( 40.000000,  12.000000) - ( 41.000000, 12.000000)
 DRAW  ( 41.000000,  12.000000) - ( 41.000000, 12.000000)
 DRAW  ( 41.000000,  12.000000) - ( 42.000000, 12.000000)
 MOVE  ( 42.000000,  12.000000) - ( 53.000000, 12.000000)
 MOVE  ( 53.000000,  12.000000) - ( 53.000000, 12.000000)
 DRAW  ( 53.000000,  12.000000) - ( 54.000000, 12.000000)
 MOVE  ( 54.000000,  12.000000) - ( 55.000000, 12.000000)
 MOVE  ( 55.000000,  12.000000) - ( 55.000000, 12.000000)
 DRAW  ( 55.000000,  12.000000) - ( 56.000000, 12.000000)
 DRAW  ( 56.000000,  12.000000) - ( 56.000000, 12.000000)
 DRAW  ( 56.000000,  12.000000) - ( 57.000000, 12.000000)
 DRAW  ( 57.000000,  12.000000) - ( 57.000000, 12.000000)
 MOVE  ( 57.000000,  12.000000) - ( 0.000000, 12.000000)
 MOVE  ( 0.000000,  12.000000) - ( 0.000000, 12.000000)
 MOVE  ( 0.000000,  12.000000) - ( 0.000000, 13.000000)
 MOVE  ( 0.000000,  13.000000) - ( 0.000000, 13.000000)
 MOVE  ( 0.000000,  13.000000) - ( 10.000000, 13.000000)
 MOVE  ( 10.000000,  13.000000) - ( 10.000000, 13.000000)
 DRAW  ( 10.000000,  13.000000) - ( 11.000000, 13.000000)
 DRAW  ( 11.000000,  13.000000) - ( 11.000000, 13.000000)
 DRAW  ( 11.000000,  13.000000) - ( 12.000000, 13.000000)
 MOVE  ( 12.000000,  13.000000) - ( 13.000000, 13.000000)
 MOVE  ( 13.000000,  13.000000) - ( 13.000000, 13.000000)
 DRAW  ( 13.000000,  13.000000) - ( 14.000000, 13.000000)
 DRAW  ( 14.000000,  13.000000) - ( 14.000000, 13.000000)
 DRAW  ( 14.000000,  13.000000) - ( 16.000000, 13.000000)
 MOVE  ( 16.000000,  13.000000) - ( 18.000000, 13.000000)
 MOVE  ( 18.000000,  13.000000) - ( 18.000000, 13.000000)
 DRAW  ( 18.000000,  13.000000) - ( 19.000000, 13.000000)
 MOVE  ( 19.000000,  13.000000) - ( 30.000000, 13.000000)
 MOVE  ( 30.000000,  13.000000) - ( 30.000000, 13.000000)
 DRAW  ( 30.000000,  13.000000) - ( 31.000000, 13.000000)
 DRAW  ( 31.000000,  13.000000) - ( 31.000000, 13.000000)
 DRAW  ( 31.000000,  13.000000) - ( 32.000000, 13.000000)
 DRAW  ( 32.000000,  13.000000) - ( 32.000000, 13.000000)
 DRAW  ( 32.000000,  13.000000) - ( 33.000000, 13.000000)
 DRAW  ( 33.000000,  13.000000) - ( 33.000000, 13.000000)
 DRAW  ( 33.000000,  13.000000) - ( 34.000000, 13.000000)
 MOVE  ( 34.000000,  13.000000) - ( 38.000000, 13.000000)
